ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
548308,Mumbai Indians,2,101,9,15.6
501247,Royal Challengers Bangalore,2,128,1,71.8
598033,Royal Challengers Bangalore,2,136,7,46.6
501216,Deccan Chargers,1,168,4,80.8
548368,Chennai Super Kings,2,160,5,71.0
501202,Kings XI Punjab,1,112,8,27.2
548349,Rajasthan Royals,1,141,6,54.6
501255,Royal Challengers Bangalore,2,105,6,33.0
548343,Chennai Super Kings,2,149,8,49.4
419109,Royal Challengers Bangalore,1,135,7,46.0
501231,Mumbai Indians,1,94,8,16.4
419118,Kolkata Knight Riders,2,134,5,55.4
598049,Delhi Daredevils,1,154,4,72.4
598025,Pune Warriors,1,185,4,91.0
501230,Delhi Daredevils,2,131,9,33.6
1136599,Sunrisers Hyderabad,1,146,10,37.6
1178430,Kings XI Punjab,2,173,4,83.8
1178414,Chennai Super Kings,2,160,8,56.0
1136561,Chennai Super Kings,2,169,9,56.4
1178404,Kolkata Knight Riders,1,161,8,56.6
419145,Deccan Chargers,2,186,3,96.6
548328,Kolkata Knight Riders,2,127,2,66.2
501221,Mumbai Indians,1,164,4,78.4
598061,Pune Warriors,1,170,4,82.0
501206,Kings XI Punjab,2,193,4,95.8
501233,Kochi Tuskers Kerala,2,119,10,21.4
501227,Royal Challengers Bangalore,2,161,7,61.6
501201,Mumbai Indians,2,99,2,49.4
501266,Royal Challengers Bangalore,2,129,2,67.4
598038,Pune Warriors,2,127,9,31.2
501256,Mumbai Indians,2,125,8,35.0
419114,Mumbai Indians,1,218,7,95.8
548345,Rajasthan Royals,2,151,3,75.6
419154,Royal Challengers Bangalore,2,132,5,54.2
419126,Rajasthan Royals,2,151,2,80.6
548364,Delhi Daredevils,1,114,5,43.4
501200,Kochi Tuskers Kerala,1,161,5,71.6
598048,Royal Challengers Bangalore,2,162,3,82.2
598064,Kings XI Punjab,2,194,4,96.4
501202,Pune Warriors,2,113,3,52.8
419158,Kolkata Knight Riders,2,133,2,69.8
598059,Delhi Daredevils,1,120,7,37.0
419112,Kings XI Punjab,1,203,3,106.8
598065,Rajasthan Royals,2,113,9,22.8
501270,Mumbai Indians,2,142,8,45.2
548339,Kings XI Punjab,1,168,3,85.8
548322,Chennai Super Kings,1,155,5,68.0
548377,Rajasthan Royals,1,162,6,67.2
598070,Mumbai Indians,2,144,10,36.4
598049,Rajasthan Royals,2,155,1,88.0
548365,Rajasthan Royals,1,170,4,82.0
548365,Pune Warriors,2,125,9,30.0
501230,Kolkata Knight Riders,1,148,7,53.8
1136583,Sunrisers Hyderabad,1,118,10,20.8
1178422,Mumbai Indians,2,198,7,83.8
1136618,Kolkata Knight Riders,1,169,7,66.4
1082644,Mumbai Indians,1,173,5,78.8
501226,Pune Warriors,2,117,9,25.2
598052,Kings XI Punjab,1,145,6,57.0
598058,Rajasthan Royals,2,144,5,61.4
548334,Mumbai Indians,1,163,6,67.8
501271,Chennai Super Kings,1,205,5,98.0
598015,Chennai Super Kings,2,135,8,41.0
598066,Mumbai Indians,2,133,9,34.8
598043,Kolkata Knight Riders,2,133,2,69.8
419156,Deccan Chargers,2,178,5,81.8
598063,Mumbai Indians,1,166,8,59.6
419139,Kings XI Punjab,2,204,2,112.4
548321,Delhi Daredevils,2,162,5,72.2
419151,Deccan Chargers,1,151,6,60.6
501207,Pune Warriors,2,151,6,60.6
598022,Chennai Super Kings,2,124,6,44.4
548314,Deccan Chargers,1,138,9,37.8
598053,Kolkata Knight Riders,1,152,6,61.2
597998,Kolkata Knight Riders,2,129,4,57.4
501219,Kolkata Knight Riders,2,126,9,30.6
501216,Delhi Daredevils,2,152,7,56.2
419124,Kings XI Punjab,2,152,10,41.2
548326,Deccan Chargers,1,196,2,107.6
598047,Pune Warriors,1,178,4,86.8
419143,Rajasthan Royals,2,157,1,89.2
598014,Kings XI Punjab,1,124,10,24.4
